"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"High","2026-04-22 04:22:09 PM","2026-04-22 06:35:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2h 13m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 04:19:09 PM","2026-04-22 04:21:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 04:13:09 PM","2026-04-22 04:18:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","5m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 04:11:09 PM","2026-04-22 04:12:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 04:08:09 PM","2026-04-22 04:10:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 04:02:09 PM","2026-04-22 04:04:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 01:30:09 PM","2026-04-22 01:31:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 01:28:09 PM","2026-04-22 01:29:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 01:23:09 PM","2026-04-22 01:26:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","3m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 12:06:09 PM","2026-04-22 01:22:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1h 16m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 12:04:09 PM","2026-04-22 12:05:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 12:02:09 PM","2026-04-22 12:03:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 11:59:09 AM","2026-04-22 12:00:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 11:56:09 AM","2026-04-22 11:58:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 11:53:09 AM","2026-04-22 11:55:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 11:49:09 AM","2026-04-22 11:51:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 11:46:09 AM","2026-04-22 11:47:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 11:38:09 AM","2026-04-22 11:39:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 09:32:09 AM","2026-04-22 09:33:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 08:23:09 AM","2026-04-22 09:30:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1h 7m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 08:16:09 AM","2026-04-22 08:22:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","6m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 08:10:09 AM","2026-04-22 08:15:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","5m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 08:06:09 AM","2026-04-22 08:09:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","3m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 08:04:09 AM","2026-04-22 08:05:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 08:01:09 AM","2026-04-22 08:03:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 07:57:09 AM","2026-04-22 07:59:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 05:40:09 AM","2026-04-22 05:41:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 05:37:09 AM","2026-04-22 05:38:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 05:33:09 AM","2026-04-22 05:34:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 05:29:09 AM","2026-04-22 05:31:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 05:26:09 AM","2026-04-22 05:27:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 05:24:09 AM","2026-04-22 05:25:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 05:22:09 AM","2026-04-22 05:23:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 05:18:09 AM","2026-04-22 05:19:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 04:41:09 AM","2026-04-22 05:17:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","36m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 04:38:09 AM","2026-04-22 04:40:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 04:34:09 AM","2026-04-22 04:37:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","3m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 04:31:09 AM","2026-04-22 04:32:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 04:29:09 AM","2026-04-22 04:30:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 01:18:09 AM","2026-04-22 02:18:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1h","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 01:15:09 AM","2026-04-22 01:17:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 01:11:09 AM","2026-04-22 01:14:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","3m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 10:29:09 PM","2026-04-21 10:30:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 10:25:09 PM","2026-04-21 10:26:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 10:20:09 PM","2026-04-21 10:22:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 08:45:09 PM","2026-04-21 10:19:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1h 34m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 08:30:09 PM","2026-04-21 08:31:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 07:31:24 PM","2026-04-21 07:32:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","45s","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 07:28:09 PM","2026-04-21 07:30:09 PM","RESOLVED","BHS-NAS-MPLS01","ICMP: Unavailable by ICMP ping","2m","No","Actions (4)","alerttype: availability, class: network, component: icmp, country: bahamas, ip: 190.242.4.16, lla: icmp, lla: pingnetwork, opgr: b2bnoc, target: snmp, vendor: juniper"
"High","2026-04-21 07:24:09 PM","2026-04-21 07:25:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 07:19:09 PM","2026-04-21 07:21:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 07:17:11 PM","2026-04-21 07:18:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","58s","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 06:06:09 PM","2026-04-21 06:13:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","7m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 06:02:09 PM","2026-04-21 06:05:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","3m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 04:04:09 PM","2026-04-21 06:00:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1h 56m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 04:01:09 PM","2026-04-21 04:03:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 03:57:09 PM","2026-04-21 04:00:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","3m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 03:55:09 PM","2026-04-21 03:56:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 03:51:09 PM","2026-04-21 03:52:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 03:43:09 PM","2026-04-21 03:44:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 01:59:09 PM","2026-04-21 02:00:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 01:53:09 PM","2026-04-21 01:54:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 01:46:09 PM","2026-04-21 01:47:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 01:39:09 PM","2026-04-21 01:41:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 01:35:09 PM","2026-04-21 01:36:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 01:32:09 PM","2026-04-21 01:34:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 01:25:09 PM","2026-04-21 01:30:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","5m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 11:22:09 AM","2026-04-21 01:24:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2h 2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 11:18:09 AM","2026-04-21 11:21:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","3m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 11:11:09 AM","2026-04-21 11:17:10 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","6m 1s","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 11:09:09 AM","2026-04-21 11:10:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 11:06:09 AM","2026-04-21 11:08:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 11:04:09 AM","2026-04-21 11:05:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 11:01:09 AM","2026-04-21 11:02:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 08:07:09 AM","2026-04-21 08:08:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 08:04:09 AM","2026-04-21 08:05:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 07:58:09 AM","2026-04-21 07:59:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 07:54:09 AM","2026-04-21 07:56:11 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m 2s","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 07:50:09 AM","2026-04-21 07:53:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","3m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 07:26:09 AM","2026-04-21 07:49:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","23m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 06:18:09 AM","2026-04-21 07:25:24 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1h 7m 15s","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 04:46:09 AM","2026-04-21 04:47:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 04:43:09 AM","2026-04-21 04:44:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 04:38:09 AM","2026-04-21 04:41:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","3m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 04:34:09 AM","2026-04-21 04:37:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","3m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 04:29:09 AM","2026-04-21 04:30:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 04:27:09 AM","2026-04-21 04:28:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 02:37:09 AM","2026-04-21 04:25:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1h 48m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 02:34:09 AM","2026-04-21 02:35:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 02:30:09 AM","2026-04-21 02:32:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 02:27:09 AM","2026-04-21 02:29:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 02:25:09 AM","2026-04-21 02:26:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 02:17:09 AM","2026-04-21 02:18:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-21 02:14:10 AM","2026-04-21 02:15:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","59s","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 11:36:09 PM","2026-04-20 11:37:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 11:32:09 PM","2026-04-20 11:34:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 11:30:09 PM","2026-04-20 11:31:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 10:34:09 PM","2026-04-20 11:29:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","55m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 10:30:09 PM","2026-04-20 10:32:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 09:35:09 PM","2026-04-20 09:36:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 06:52:09 PM","2026-04-20 08:42:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1h 50m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-20 06:48:09 PM","2026-04-20 06:51:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","3m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
