"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"Warning","2026-07-05 09:17:09 AM","2026-07-06 11:32:09 AM","RESOLVED","BHS-NAS-MPLS01","AFEB Exhaust A temperature sensor: Temperature is above warning threshold: >50","1d 2h 15m","No","Actions (4)","alerttype: hardware, class: network, component: temperature, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-05 09:17:09 AM","2026-07-05 12:02:09 PM","RESOLVED","BHS-NAS-MPLS01","PEM 0: Temperature is above warning threshold: >50","2h 45m","No","Actions (4)","alerttype: hardware, class: network, component: temperature, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-05 09:17:09 AM","2026-07-05 03:47:09 PM","RESOLVED","BHS-NAS-MPLS01","FPC @ 1/*/*: Temperature is above warning threshold: >50","6h 30m","No","Actions (4)","alerttype: hardware, class: network, component: temperature, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-05 09:17:09 AM","2026-07-05 03:47:09 PM","RESOLVED","BHS-NAS-MPLS01","FPC @ 2/*/*: Temperature is above warning threshold: >50","6h 30m","No","Actions (4)","alerttype: hardware, class: network, component: temperature, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-05 09:17:09 AM","2026-07-05 03:47:09 PM","RESOLVED","BHS-NAS-MPLS01","FPC @ 0/*/*: Temperature is above warning threshold: >50","6h 30m","No","Actions (4)","alerttype: hardware, class: network, component: temperature, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-05 09:17:09 AM","2026-07-05 03:47:09 PM","RESOLVED","BHS-NAS-MPLS01","AFEB : Temperature is above warning threshold: >50","6h 30m","No","Actions (4)","alerttype: hardware, class: network, component: temperature, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-03 02:25:50 PM","2026-07-03 02:37:20 PM","RESOLVED","BHS-NAS-MPLS01","Interface xe-2/0/1(TO-NMI-MPLS01-xe-4/0/8_21656.TR_BKBN_MPLS): Link down","11m 30s","No","Actions (4)","alerttype: availability, alias: TO-NMI-MPLS01-xe-4/0/8_21656.TR_BKBN_MPLS, class: network, component: interface, country: bahamas, interface: xe-2/0/1, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-03 02:17:09 PM","2026-07-03 02:47:09 PM","RESOLVED","BHS-NAS-MPLS01","AFEB Exhaust B temperature sensor: Temperature is above critical threshold: >60","30m","No","Actions (4)","alerttype: hardware, class: network, component: temperature, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-03 02:17:09 PM","2026-07-03 02:47:09 PM","RESOLVED","BHS-NAS-MPLS01","PEM 0: Temperature is above critical threshold: >60","30m","No","Actions (4)","alerttype: hardware, class: network, component: temperature, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-03 02:17:09 PM","2026-07-03 02:47:09 PM","RESOLVED","BHS-NAS-MPLS01","PEM 1: Temperature is above warning threshold: >50","30m","No","Actions (4)","alerttype: hardware, class: network, component: temperature, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-03 02:02:09 PM","2026-07-03 05:47:09 PM","RESOLVED","BHS-NAS-MPLS01","AFEB : Temperature is above warning threshold: >50","3h 45m","No","Actions (4)","alerttype: hardware, class: network, component: temperature, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-03 02:02:09 PM","2026-07-04 04:02:09 AM","RESOLVED","BHS-NAS-MPLS01","AFEB Exhaust A temperature sensor: Temperature is above warning threshold: >50","14h","No","Actions (4)","alerttype: hardware, class: network, component: temperature, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
