"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"Average","2026-06-09 03:45:37 PM","2026-06-09 03:51:37 PM","RESOLVED","BRB-GARRI-MPLS01","Routing Engine: High CPU utilization (over 90% for 5m)","6m","No","Actions (4)","alerttype: performance, class: network, component: cpu, country: barbados, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-07 03:33:37 PM","2026-06-07 03:39:37 PM","RESOLVED","BRB-GARRI-MPLS01","Routing Engine: High CPU utilization (over 90% for 5m)","6m","No","Actions (4)","alerttype: performance, class: network, component: cpu, country: barbados, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-07 05:39:37 AM","2026-06-07 05:45:37 AM","RESOLVED","BRB-GARRI-MPLS01","Routing Engine: High CPU utilization (over 90% for 5m)","6m","No","Actions (4)","alerttype: performance, class: network, component: cpu, country: barbados, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-06 05:39:37 AM","2026-06-06 05:45:37 AM","RESOLVED","BRB-GARRI-MPLS01","Routing Engine: High CPU utilization (over 90% for 5m)","6m","No","Actions (4)","alerttype: performance, class: network, component: cpu, country: barbados, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-05 03:21:37 PM","2026-06-05 03:27:37 PM","RESOLVED","BRB-GARRI-MPLS01","Routing Engine: High CPU utilization (over 90% for 5m)","6m","No","Actions (4)","alerttype: performance, class: network, component: cpu, country: barbados, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-03 01:15:37 PM","2026-06-03 01:21:37 PM","RESOLVED","BRB-GARRI-MPLS01","Routing Engine: High CPU utilization (over 90% for 5m)","6m","No","Actions (4)","alerttype: performance, class: network, component: cpu, country: barbados, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-03 11:57:37 AM","2026-06-03 12:03:37 PM","RESOLVED","BRB-GARRI-MPLS01","Routing Engine: High CPU utilization (over 90% for 5m)","6m","No","Actions (4)","alerttype: performance, class: network, component: cpu, country: barbados, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-05-04 06:57:03 PM","","PROBLEM","BRB-GARRI-MPLS01","Interface xe-0/0/2(): Zero bandwidth usage","2M 13d 16h","Yes","Messages (1), Actions (3)","alerttype: capacity, alias, class: network, component: interface, country: barbados, interface: xe-0/0/2, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-05-04 06:57:03 PM","","PROBLEM","BRB-GARRI-MPLS01","Interface xe-0/0/3(): Zero bandwidth usage","2M 13d 16h","Yes","Messages (1), Actions (3)","alerttype: capacity, alias, class: network, component: interface, country: barbados, interface: xe-0/0/3, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-05-04 06:57:03 PM","","PROBLEM","BRB-GARRI-MPLS01","Interface xe-0/0/0(): Zero bandwidth usage","2M 13d 16h","Yes","Messages (1), Actions (3)","alerttype: capacity, alias, class: network, component: interface, country: barbados, interface: xe-0/0/0, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-05-04 06:57:03 PM","","PROBLEM","BRB-GARRI-MPLS01","Interface xe-0/0/1(): Zero bandwidth usage","2M 13d 16h","Yes","Messages (1), Actions (3)","alerttype: capacity, alias, class: network, component: interface, country: barbados, interface: xe-0/0/1, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-05-04 06:52:06 PM","","PROBLEM","BRB-GARRI-MPLS01","MPLS LSP BRB-GARRI-MPLS01_to_ECU-QUI-MX01: Operational status is down  |  ( From {#MPLSLSP_FROM} to {#MPLSLSP_TO} )","2M 13d 16h","Yes","Messages (1), Actions (3)","alerttype: availability, class: network, component: mplslsp, country: barbados, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-05-04 06:30:26 PM","2026-06-28 02:16:26 PM","RESOLVED","BRB-GARRI-MPLS01","Module Fan 4 is in (runningAtFullSpeed) State","1M 24d 19h","No","Actions (4)","alerttype: hardware, class: network, country: barbados, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-05-04 06:30:26 PM","2026-06-28 02:16:26 PM","RESOLVED","BRB-GARRI-MPLS01","Module Fan 1 is in (runningAtFullSpeed) State","1M 24d 19h","No","Actions (4)","alerttype: hardware, class: network, country: barbados, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-05-04 06:30:26 PM","2026-06-28 02:16:26 PM","RESOLVED","BRB-GARRI-MPLS01","Module Fan 2 is in (runningAtFullSpeed) State","1M 24d 19h","No","Actions (4)","alerttype: hardware, class: network, country: barbados, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-05-04 06:30:26 PM","2026-06-28 02:16:26 PM","RESOLVED","BRB-GARRI-MPLS01","Module Fan 3 is in (runningAtFullSpeed) State","1M 24d 19h","No","Actions (4)","alerttype: hardware, class: network, country: barbados, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-05-04 06:30:26 PM","2026-06-28 02:16:26 PM","RESOLVED","BRB-GARRI-MPLS01","Module Fan 5 is in (runningAtFullSpeed) State","1M 24d 19h","No","Actions (4)","alerttype: hardware, class: network, country: barbados, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
